Nombre,ISIN,Último Precio,Rendimiento 12 Meses,Categoría Morningstar,Medalist Rating,Rating Morningstar para Fondos,Rating ESG Morningstar Para Fondos,Patrimonio (moneda base),Fecha Patrimonio Fondo,Costes PRIIPs KID,Fecha de creación
21Shares Bitwise Select 10 Lrg Cp Crypto,CH0475986318,"36,55 US$",—,Digital Assets,—,—,—,"28,79 MUS$",24 oct 2025,"2,50 %",3 jul 2019
21Shares Cardano ETP,CH1102728750,"11,85 US$",—,Digital Assets,—,—,—,"73,92 MUS$",24 oct 2025,"2,50 %",26 abr 2021
21Shares Crypto Mid-Cap ETP,CH1130675676,"21,48 US$",—,Digital Assets,—,—,—,"17,08 MUS$",24 oct 2025,"2,50 %",14 dic 2021
21Shares Stellar ETP,CH1109575535,"14,58 US$",—,Digital Assets,—,—,—,"24,64 MUS$",24 oct 2025,"2,50 %",26 abr 2021
abrdn Future Raw Materials ETF USD Acc,IE000J7QYHD8,"1,54 €",—,Sector Equity Natural Resources,—,—,,"24,96 MUS$",24 oct 2025,"0,45 %",9 may 2025
abrdn Future Real Estate UCITS ETF,IE000GGQK173,"11,22 US$","0,00 %",Property - Indirect Global,,—,,"92,93 MUS$",24 oct 2025,"0,40 %",22 feb 2023
abrdn Future Supply Chains ETF USD Acc,IE000G9O8QD4,"1,13 €",—,Other Equity,—,—,,"15,64 MUS$",24 oct 2025,"0,60 %",9 may 2025
Acción Eurostoxx 50 ETF Cotiz. Armoni FI,ES0105321030,"56,78 €","2,44 %",Eurozone Large-Cap Equity,,,,"149,90 M€",24 oct 2025,"0,31 %",3 oct 2006
Acción IBEX 35 ETF Cotiz. Armonizado FI,ES0105336038,"15,85 €","3,08 %",Spain Equity,,,,"152,23 M€",24 oct 2025,"0,57 %",23 jun 2006
AI-Enhanced Eurozone Eqs ETF EUR Dist,IE000979OT00,"117,14 €","0,26 %",Eurozone Large-Cap Equity,,—,,"115,15 M€",23 oct 2025,"0,65 %",27 jun 2024
Ailis D-X MSCI EMU Scrn ETF X EUR Acc,LU3008629340,"5,35 €",—,Eurozone Large-Cap Equity,—,—,,"158,06 M€",23 oct 2025,"0,29 %",24 mar 2025
